t,count
1621933241,2
1621933242,3
1621933243,4
1621933258,5
1621933276,6
1621933280,7
1621933286,8
1621933305,9
1621933315,10
1621933357,11
1621933373,12
1621933413,13
1621933427,14
1621933458,15
1621933460,16
1621933471,17
1621933473,18
1621933485,19
1621933489,20
1621933646,21
1621933676,22
1621933685,23
1621933688,24
1621933696,25
1621937271,24
1621937348,24
1621938232,23
1621938512,22
1621938908,23
1621938928,24
1621938975,25
1621938992,26
1621939794,25
1621939797,24
1621939845,23
1621939857,22
1621939876,21
1621939902,20
1621939918,19
1621939928,18
1621939957,17
1621939962,16
1621940073,15
1621940099,14
1621940107,13
1621940109,12
1621940130,11
1621940262,10
1621940295,9
1621940299,8
1621940334,7
1621940351,6
1621940378,5
1621940381,4
1621940388,3
1621940399,2
1621940500,3
1621940505,4
1621940511,5
1621940513,6
1621940524,7
1621940528,8
1621940629,9
1621940656,10
1621940672,11
1621940776,12
1621940782,13
1621940789,14
1621940795,15
1621940804,16
1621940807,17
1621940843,18
1621940851,19
1621940867,20
1621940869,21
1621940887,22
1621942335,21
1621943486,20
1621946172,21
1621946175,22
1621946536,22
1621946987,21
1621947021,20
1621947026,19
1621947036,18
1621947103,17
1621947118,16
1621947121,15
1621947153,14
1621947159,13
1621947171,12
1621947175,11
1621947212,10
1621947218,9
1621947226,8
1621947242,7
1621947263,6
1621947266,5
1621947270,4
1621947273,3
1621947324,2
1621947344,1
1621947366,0
1621947399,0
1621947407,0
1621947432,0
1621947446,0
1621947491,0
1621947497,0
1621947529,0
1621947539,0
1621947566,0
1621947579,0
1621947582,0
1621951939,0
1621954831,1
1621954847,2
1621954886,3
1621954890,4
1621954892,5
1621954902,6
1621954903,7
1621954956,8
1621954965,9
1621954973,10
1621954998,11
1621955002,12
1621955004,13
1621955007,14
1621955021,15
1621955023,16
1621955070,17
1621955072,18
1621955093,19
1621955102,20
1621955104,21
1621955117,22
1621955158,23
1621955159,24
1621955203,25
1621955248,26
1621956574,26
1621957474,26
1621957887,25
1621958374,25
1621958723,24
1621959274,24
1621960174,24
1621960504,25
1621960529,26
1621961074,26
1621961221,25
1621961295,24
1621961364,23
1621961456,22
1621961471,21
1621961472,20
1621961507,19
1621961525,18
1621961534,17
1621961551,16
1621961599,15
1621961624,14
1621961628,13
1621961640,12
1621961643,11
1621961686,10
1621961763,9
1621961767,8
1621961794,7
1621961830,6
1621961850,5
1621961873,4
1621961938,3
1621961941,2
1621961974,2
1621961990,1
1621961998,0
1621962875,0
1621963775,0
1621964675,0
1621965575,0
1621966688,0
1621968438,0
1621970020,0
1621971313,0
1621972900,0
1621979963,0
1622003050,0
1622012465,1
1622012500,2
1622012516,3
1622012520,4
1622012556,5
1622012558,6
1622012569,7
1622012579,8
1622012631,9
1622012650,10
1622012651,11
1622012653,12
1622012720,13
1622012721,14
1622012722,15
1622012724,16
1622012732,17
1622012796,18
1622012849,19
1622012898,20
1622012906,21
1622012946,21
1622012957,22
1622012969,23
1622012978,24
1622012985,25
1622013039,26
1622013051,27
1622013055,28
1622013063,29
1622013137,30
1622013150,31
1622013846,31
1622014746,31
1622015605,30
1622015646,30
1622016547,30
1622016911,29
1622017201,28
1622017447,28
1622018152,29
1622018250,30
1622018347,30
1622018386,31
1622018973,30
1622018980,29
1622019025,28
1622019031,27
1622019046,26
1622019052,25
1622019063,24
1622019081,23
1622019093,22
1622019122,21
1622019130,20
1622019135,19
1622019182,18
1622019202,17
1622019231,16
1622019246,15
1622019247,15
1622019340,14
1622019372,13
1622019373,12
1622019379,11
1622019408,10
1622019412,9
1622019422,8
1622019460,7
1622019467,6
1622019481,5
1622019494,4
1622019498,3
1622019523,2
1622019526,1
1622019578,0
1622019614,1
1622019617,2
1622019736,3
1622019800,4
1622019869,5
1622019870,6
1622019874,7
1622019878,8
1622019906,9
1622019924,10
1622019947,11
1622019950,12
1622019954,13
1622019972,14
1622019974,15
1622019995,16
1622020008,17
1622020032,18
1622020042,19
1622020056,20
1622020068,21
1622020081,22
1622020086,23
1622020095,24
1622020121,25
1622020122,26
1622020125,27
1622020129,28
1622020147,28
1622020161,29
1622020171,30
1622020180,31
1622020191,32
1622021047,32
1622022528,32
1622022530,31
1622023940,31
1622025592,32
1622026206,31
1622026216,30
1622026229,29
1622026254,28
1622026259,27
1622026358,26
1622026380,25
1622026396,24
1622026411,23
1622026413,22
1622026423,21
1622026432,20
1622026435,19
1622026461,18
1622026468,17
1622026520,16
1622026530,15
1622026532,14
1622026563,13
1622026579,12
1622026602,11
1622026633,10
1622026635,9
1622026672,8
1622026678,7
1622026685,6
1622026709,5
1622026717,4
1622026720,3
1622026731,2
1622026760,1
1622026762,0
1622026833,1
1622026836,2
1622026850,3
1622026865,4
1622026874,5
1622026885,6
1622026940,7
1622026996,8
1622027001,9
1622027058,10
1622027062,11
1622027074,12
1622027079,13
1622027112,13
1622027113,14
1622027147,15
1622027154,16
1622027220,17
1622027243,18
1622027252,19
1622027265,20
1622027284,21
1622027289,22
1622027294,23
1622027308,24
1622027328,25
1622027353,26
1622027398,27
1622027408,28
1622027436,29
1622027449,30
1622027469,31
1622027491,32
1622027507,33
1622030510,32
1622033531,32
1622033708,31
1622033709,30
1622033711,29
1622033730,28
1622033732,27
1622033743,26
1622033760,25
1622033762,24
1622033767,23
1622033771,22
1622033781,21
1622033787,20
1622033792,19
1622033804,18
1622033820,17
1622033830,16
1622033844,15
1622033847,14
1622033879,13
1622033883,12
1622033896,11
1622033898,10
1622033900,9
1622033918,8
1622033924,7
1622033943,6
1622033947,5
1622033964,4
1622033966,3
1622033980,2
1622033987,1
1622033995,0
1622034000,0
1622034005,1
1622034028,2
1622034034,3
1622034061,4
1622034062,5
1622034085,6
1622034101,7
1622034104,8
1622034108,9
1622034117,10
1622034156,11
1622034170,12
1622034181,13
1622034212,14
1622034231,15
1622034257,16
1622034268,17
1622034269,18
1622034271,19
1622034321,20
1622034342,21
1622034357,22
1622034397,23
1622038886,22
1622039383,22
1622039831,23
1622040495,22
1622040554,21
1622040603,20
1622040652,19
1622040657,18
1622040677,17
1622040692,16
1622040711,15
1622040732,14
1622040799,13
1622040819,12
1622040825,11
1622040828,10
1622040839,9
1622040885,8
1622040953,7
1622041012,6
1622041035,5
1622041052,4
1622041082,3
1622041104,2
1622041107,1
1622041144,0
1622041213,1
1622041264,2
1622041305,3
1622041314,4
1622041328,5
1622041354,6
1622041374,7
1622041407,8
1622041417,9
1622041426,10
1622041439,11
